bulan,periode,stok,cuaca,penjualan
September,248,182,Mendung,97
November,249,267,Cerah,84
Januari,250,190,Cerah,207
November,251,333,Cerah,129
November,252,333,Hujan,161
Desember,253,131,Hujan,77
November,254,107,Mendung,101
Juli,255,272,Mendung,208
Mei,256,253,Cerah,159
Maret,257,304,Hujan,90
Februari,258,292,Hujan,97
Februari,259,237,Mendung,145
Agustus,260,323,Mendung,183
April,261,159,Hujan,159
Februari,262,190,Mendung,114
Januari,263,287,Hujan,178
Januari,264,292,Cerah,137
Agustus,265,188,Cerah,111
Februari,266,236,Mendung,148
Februari,267,101,Mendung,119
Mei,268,316,Hujan,165
Juni,269,113,Mendung,71
Juni,270,288,Cerah,195
Agustus,271,163,Mendung,216
Agustus,272,330,Hujan,143
April,273,182,Hujan,93
Februari,274,145,Cerah,211
April,275,267,Hujan,94
Juni,276,312,Mendung,87
Desember,277,339,Cerah,203
April,278,334,Cerah,77
Maret,279,215,Hujan,114
Agustus,280,322,Cerah,192
Mei,281,184,Hujan,188
November,282,309,Hujan,80
Agustus,283,258,Cerah,87
September,284,332,Cerah,159
Mei,285,100,Mendung,151
Desember,286,153,Hujan,115
Maret,287,303,Cerah,218
Juni,288,240,Mendung,178
Agustus,289,180,Hujan,188
November,290,136,Mendung,90
Februari,291,312,Cerah,115
Februari,292,287,Cerah,128
Februari,293,123,Cerah,212
Februari,294,106,Mendung,188
April,295,266,Hujan,70
Januari,296,340,Hujan,79
April,297,335,Cerah,190
Februari,298,269,Mendung,204
November,299,133,Hujan,208
Mei,300,313,Hujan,96
Februari,301,306,Cerah,103
Desember,302,154,Hujan,100
Maret,303,136,Hujan,104
Januari,304,144,Mendung,79
Agustus,305,313,Mendung,84
April,306,347,Cerah,139
Mei,307,248,Cerah,185
November,308,189,Mendung,153
Desember,309,198,Mendung,105
Desember,310,149,Hujan,152
Januari,311,186,Mendung,212
Desember,312,182,Cerah,140
Mei,313,137,Mendung,108
Desember,314,285,Hujan,143
Januari,315,134,Cerah,92
Juli,316,245,Mendung,135
Maret,317,235,Cerah,71
Februari,318,297,Cerah,164
Oktober,319,208,Mendung,74
November,320,244,Cerah,130
Mei,321,183,Mendung,100
Agustus,322,293,Hujan,103
Januari,323,108,Hujan,102
Januari,324,125,Cerah,83
Juli,325,109,Mendung,82
November,326,236,Mendung,136
Maret,327,251,Mendung,96
Oktober,328,294,Mendung,123
Juni,329,242,Cerah,113
Mei,330,193,Cerah,205
Mei,331,342,Hujan,80
Maret,332,112,Cerah,81
Juni,333,292,Hujan,125
Agustus,334,267,Mendung,164
Oktober,335,141,Mendung,200
Februari,336,279,Mendung,99
Oktober,337,222,Hujan,139
Oktober,338,167,Hujan,103
Juli,339,119,Hujan,212
Februari,340,311,Mendung,83
Maret,341,280,Cerah,131
Januari,342,154,Mendung,208
Januari,343,163,Mendung,191
September,344,209,Hujan,160
Maret,345,154,Cerah,149
Oktober,346,303,Mendung,169
November,347,123,Hujan,217
November,348,282,Cerah,173
Desember,349,332,Hujan,71
April,350,176,Mendung,74
Juni,351,164,Cerah,180
Maret,352,343,Mendung,74
November,353,271,Mendung,114
Desember,354,105,Mendung,86
Desember,355,164,Mendung,179
Juni,356,168,Mendung,78
September,357,119,Cerah,177
April,358,108,Cerah,189
Juni,359,144,Mendung,216
November,360,345,Cerah,199
Maret,361,200,Mendung,130
Februari,362,268,Mendung,141
Juli,363,103,Mendung,95
Februari,364,117,Hujan,205
Agustus,365,118,Hujan,111
Desember,366,163,Cerah,163
Mei,367,208,Hujan,157
Juni,368,295,Mendung,102
Juni,369,247,Hujan,91
Maret,370,108,Cerah,93
September,371,249,Mendung,124
Februari,372,259,Hujan,170
Juni,373,343,Cerah,194
November,374,249,Cerah,79
Oktober,375,116,Cerah,163
September,376,246,Cerah,195
Oktober,377,346,Mendung,170
Desember,378,156,Hujan,198
Maret,379,122,Hujan,143
April,380,320,Cerah,133
Maret,381,301,Hujan,163
September,382,344,Mendung,113
Agustus,383,325,Cerah,180
Januari,384,197,Mendung,133
Oktober,385,218,Hujan,103
Maret,386,287,Cerah,96
Oktober,387,238,Cerah,216
Agustus,388,258,Hujan,117
Juni,389,269,Hujan,92
November,390,258,Cerah,100
September,391,171,Cerah,133
Juli,392,105,Cerah,135
Januari,393,200,Hujan,134
Januari,394,191,Cerah,83
Juni,395,116,Hujan,124
Desember,396,121,Hujan,160
Desember,397,232,Mendung,112
Mei,398,226,Hujan,72
Oktober,399,341,Hujan,162
Mei,400,115,Cerah,126
September,401,147,Cerah,200
Oktober,402,136,Hujan,85
November,403,153,Cerah,219
Januari,404,344,Hujan,73
Januari,405,265,Cerah,98
September,406,122,Hujan,196
Maret,407,220,Mendung,112
Oktober,408,127,Cerah,159
Juni,409,115,Hujan,90
Maret,410,155,Mendung,162
September,411,347,Hujan,209
November,412,205,Hujan,193
Januari,413,344,Cerah,101
Januari,414,213,Cerah,71
November,415,102,Hujan,71
Mei,416,207,Hujan,83
Oktober,417,160,Mendung,191
Juli,418,279,Mendung,173
Juli,419,248,Hujan,124
Desember,420,121,Cerah,131
September,421,301,Cerah,175
November,422,208,Hujan,89
Desember,423,296,Cerah,79
April,424,114,Mendung,134
Oktober,425,141,Cerah,111
Juli,426,294,Mendung,143
Januari,427,147,Hujan,173
Agustus,428,244,Cerah,101
November,429,263,Cerah,130
Oktober,430,196,Cerah,89
September,431,225,Cerah,133
Juli,432,192,Hujan,126
Juli,433,111,Cerah,85
Agustus,434,294,Cerah,97
Desember,435,147,Cerah,88
Februari,436,183,Mendung,204
Agustus,437,122,Cerah,184
Maret,438,204,Mendung,149
Oktober,439,322,Mendung,73
September,440,194,Mendung,209
September,441,240,Cerah,198
Juli,442,102,Mendung,141
Mei,443,188,Cerah,147
Februari,444,106,Cerah,184
Juni,445,210,Cerah,187
Maret,446,236,Mendung,128
Agustus,447,265,Hujan,74
Oktober,448,261,Hujan,85
Maret,449,323,Hujan,130
Maret,450,341,Mendung,208
Februari,451,175,Cerah,154
Oktober,452,156,Hujan,160
Juni,453,142,Hujan,190
April,454,168,Hujan,82
Mei,455,308,Mendung,210
Maret,456,225,Hujan,123
Agustus,457,172,Mendung,81
November,458,237,Mendung,156
Mei,459,221,Cerah,145
Desember,460,193,Hujan,97
Februari,461,281,Mendung,122
November,462,189,Hujan,130
Mei,463,182,Cerah,124
Mei,464,201,Mendung,84
Juli,465,280,Cerah,135
Maret,466,276,Cerah,168
Juni,467,288,Hujan,143
April,468,134,Hujan,138
Maret,469,100,Cerah,193
Juli,470,169,Mendung,198
Juni,471,196,Cerah,129
Januari,472,132,Mendung,91
Maret,473,217,Hujan,117
Oktober,474,139,Cerah,209
Juli,475,335,Cerah,103
Desember,476,316,Cerah,119
Agustus,477,146,Mendung,142
Juli,478,138,Cerah,141
Januari,479,166,Hujan,219
Mei,480,289,Hujan,211
September,481,324,Hujan,197
Juli,482,341,Hujan,192
Mei,483,136,Mendung,77
Agustus,484,265,Mendung,129
Maret,485,267,Hujan,78
April,486,138,Mendung,162
Mei,487,327,Mendung,194
April,488,148,Hujan,113
Januari,489,301,Mendung,164
Oktober,490,167,Hujan,126
September,491,348,Cerah,219
Juli,492,256,Cerah,198
April,493,244,Cerah,197
Oktober,494,314,Hujan,85
April,495,159,Hujan,186
Oktober,496,173,Cerah,75
Januari,497,248,Hujan,102
Mei,498,234,Cerah,171
Januari,499,175,Cerah,160
Agustus,500,169,Mendung,164
Januari,501,165,Mendung,114
Mei,502,181,Mendung,170
November,503,300,Hujan,191
September,504,187,Hujan,156
Oktober,505,164,Mendung,116
Februari,506,322,Mendung,103
April,507,214,Cerah,172
Desember,508,292,Hujan,186
April,509,255,Hujan,210
Oktober,510,243,Cerah,197
Juni,511,182,Hujan,83
Juni,512,233,Cerah,124
Februari,513,310,Hujan,212
Desember,514,313,Hujan,145
Oktober,515,220,Hujan,92
Juli,516,193,Mendung,82
Februari,517,277,Hujan,138
April,518,259,Hujan,140
Mei,519,254,Hujan,206
Desember,520,214,Mendung,132
Oktober,521,336,Cerah,150
Oktober,522,162,Hujan,191
Desember,523,167,Mendung,210
Agustus,524,135,Mendung,119
Maret,525,210,Mendung,146
Januari,526,281,Mendung,118
Juli,527,258,Hujan,141
Februari,528,289,Cerah,96
Mei,529,165,Hujan,102
April,530,154,Cerah,152
Maret,531,284,Hujan,146
November,532,204,Mendung,170
Juli,533,263,Hujan,163
Februari,534,331,Mendung,219
Februari,535,289,Mendung,142
September,536,156,Mendung,212
April,537,309,Mendung,168
Agustus,538,328,Cerah,190
Januari,539,188,Hujan,72
Juni,540,272,Mendung,88
Maret,541,239,Cerah,108
Juni,542,194,Mendung,145
November,543,222,Cerah,104
Agustus,544,235,Mendung,186
November,545,217,Mendung,139
Februari,546,295,Mendung,152
Februari,547,318,Cerah,140
Juni,548,194,Mendung,206
Desember,549,344,Mendung,197
Januari,550,104,Hujan,82
Oktober,551,221,Mendung,138
Februari,552,135,Hujan,157
November,553,119,Hujan,180
Maret,554,209,Mendung,122
April,555,258,Hujan,198
April,556,176,Cerah,72
Maret,557,200,Hujan,202
September,558,130,Cerah,106
Februari,559,143,Cerah,103
Desember,560,189,Cerah,144
Mei,561,103,Hujan,172
September,562,171,Cerah,190
Juli,563,109,Mendung,78
Desember,564,160,Mendung,107
Februari,565,247,Hujan,189
Desember,566,215,Cerah,72
Februari,567,185,Mendung,173
Juni,568,264,Hujan,124
Agustus,569,292,Cerah,188
Mei,570,331,Hujan,74
Maret,571,162,Mendung,209
Desember,572,347,Hujan,140
Mei,573,190,Hujan,103
Juli,574,205,Cerah,174
Februari,575,298,Mendung,185
November,576,309,Mendung,170
Mei,577,260,Hujan,89
November,578,334,Cerah,93
Juli,579,214,Hujan,113
Agustus,580,342,Mendung,187
Juli,581,323,Mendung,106
Mei,582,191,Cerah,117
Desember,583,211,Cerah,153
Maret,584,347,Mendung,122
Agustus,585,260,Mendung,171
Januari,586,187,Cerah,204
Juli,587,139,Cerah,92
Desember,588,134,Mendung,103
Januari,589,192,Hujan,77
Juni,590,276,Cerah,211
Mei,591,248,Cerah,89
September,592,162,Hujan,198
Desember,593,276,Hujan,170
Mei,594,136,Mendung,204
Maret,595,227,Mendung,184
November,596,238,Mendung,203
Agustus,597,288,Cerah,79
April,598,327,Cerah,155
Agustus,599,250,Hujan,203
Mei,600,193,Cerah,102
Januari,601,115,Hujan,103
Desember,602,177,Mendung,70
Januari,603,309,Mendung,124
Juni,604,307,Mendung,109
Februari,605,139,Hujan,161
September,606,166,Hujan,213
Maret,607,147,Mendung,125
Mei,608,328,Cerah,130
Juni,609,107,Hujan,79
Januari,610,237,Hujan,77
Maret,611,268,Hujan,108
Januari,612,196,Cerah,105
Juli,613,159,Mendung,111
Januari,614,286,Hujan,92
Desember,615,321,Cerah,84
Maret,616,279,Cerah,159
Februari,617,319,Mendung,73
Februari,618,157,Cerah,136
November,619,169,Hujan,190
Juli,620,329,Cerah,169
September,621,291,Mendung,79
Juni,622,186,Cerah,73
Juni,623,225,Hujan,164
Mei,624,289,Cerah,137
Juli,625,102,Cerah,88
Juli,626,128,Cerah,177
April,627,321,Hujan,211
Januari,628,300,Cerah,155
Januari,629,135,Mendung,98
Januari,630,305,Cerah,181
Agustus,631,230,Hujan,186
Maret,632,133,Mendung,173
Februari,633,131,Hujan,144
Juli,634,122,Mendung,120
Juni,635,295,Hujan,103
Februari,636,240,Cerah,128
Desember,637,253,Cerah,153
Agustus,638,200,Hujan,159
Agustus,639,291,Mendung,156
Februari,640,313,Cerah,152
Januari,641,286,Cerah,187
Desember,642,325,Mendung,129
Januari,643,182,Hujan,120
November,644,284,Cerah,120
November,645,210,Cerah,219
Desember,646,189,Hujan,170
September,647,268,Mendung,160
Juli,648,253,Hujan,119
Juli,649,292,Hujan,208
November,650,139,Hujan,197
April,651,288,Mendung,105
Oktober,652,169,Mendung,187
Oktober,653,155,Cerah,168
November,654,286,Hujan,76
Desember,655,268,Hujan,175
Maret,656,276,Cerah,169
November,657,215,Hujan,130
Mei,658,333,Hujan,106
Mei,659,283,Cerah,187
September,660,101,Cerah,201
April,661,174,Hujan,203
April,662,130,Hujan,138
November,663,214,Hujan,125
Juli,664,168,Hujan,198
September,665,335,Cerah,166
Juni,666,174,Cerah,188
Agustus,667,186,Hujan,102
Desember,668,280,Hujan,93
Juli,669,141,Cerah,106
April,670,320,Cerah,145
Desember,671,241,Cerah,215
Februari,672,274,Cerah,87
April,673,282,Hujan,127
Februari,674,305,Mendung,211
Juni,675,255,Cerah,108
Januari,676,127,Hujan,170
Maret,677,188,Cerah,72
Juli,678,124,Mendung,112
Desember,679,135,Mendung,180
Agustus,680,240,Hujan,76
Maret,681,306,Cerah,107
Juli,682,114,Cerah,148
April,683,248,Mendung,85
Desember,684,347,Mendung,165
Juli,685,336,Cerah,107
Agustus,686,155,Hujan,93
Desember,687,110,Cerah,135
Juli,688,279,Mendung,80
Januari,689,288,Mendung,111
Oktober,690,299,Cerah,212
Agustus,691,233,Cerah,118
Desember,692,121,Hujan,209
September,693,304,Mendung,209
Juli,694,215,Mendung,152
Juni,695,303,Hujan,98
April,696,256,Cerah,151
Februari,697,103,Mendung,182
Juli,698,105,Hujan,181
Februari,699,343,Mendung,190
Agustus,700,197,Hujan,125
Maret,701,140,Hujan,123
Maret,702,130,Cerah,112
Januari,703,192,Cerah,137
Januari,704,338,Mendung,139
Maret,705,312,Mendung,203
Juli,706,205,Hujan,137
Februari,707,327,Cerah,193
Juli,708,166,Mendung,140
Juli,709,241,Cerah,119
Juni,710,248,Cerah,101
Mei,711,147,Hujan,198
November,712,169,Hujan,152
Agustus,713,168,Hujan,157
Juli,714,314,Hujan,73
November,715,190,Mendung,153
Mei,716,112,Hujan,216
Maret,717,274,Mendung,116
Februari,718,332,Mendung,77
Januari,719,262,Hujan,75
Februari,720,313,Mendung,139
Mei,721,173,Hujan,179
November,722,226,Mendung,93
Juli,723,166,Mendung,166
Agustus,724,287,Mendung,77
Maret,725,221,Cerah,208
Juli,726,129,Hujan,133
September,727,124,Mendung,180
Agustus,728,273,Mendung,151
Maret,729,151,Mendung,165
Maret,730,177,Hujan,173
Desember,731,199,Hujan,160
Maret,732,166,Mendung,216
Maret,733,258,Mendung,183
Mei,734,209,Hujan,150
Maret,735,147,Mendung,140
Januari,736,213,Hujan,81
April,737,235,Hujan,127
Juni,738,107,Cerah,205
November,739,334,Mendung,187
Oktober,740,100,Mendung,176
November,741,204,Cerah,138
Agustus,742,229,Cerah,86
Desember,743,175,Mendung,186
Oktober,744,161,Hujan,150
Desember,745,301,Cerah,149
September,746,247,Cerah,182
Desember,747,200,Cerah,165
Desember,748,251,Mendung,182
Oktober,749,111,Hujan,85
Januari,750,274,Mendung,165
Oktober,751,281,Cerah,83
Oktober,752,201,Hujan,216
Desember,753,192,Cerah,173
September,754,269,Hujan,128
Maret,755,224,Hujan,189
Desember,756,199,Cerah,183
Agustus,757,208,Hujan,146
Juli,758,190,Hujan,190
Juli,759,334,Hujan,133
Agustus,760,243,Hujan,107
Maret,761,295,Mendung,165
Februari,762,271,Hujan,155
Juni,763,300,Mendung,209
April,764,137,Mendung,192
Januari,765,270,Cerah,117
Februari,766,290,Mendung,108
November,767,263,Cerah,79
Maret,768,137,Hujan,180
Februari,769,256,Mendung,178
Mei,770,111,Hujan,100
Desember,771,287,Mendung,169
Desember,772,129,Cerah,125
Desember,773,121,Mendung,138
Juni,774,140,Hujan,163
Juni,775,328,Hujan,85
Februari,776,312,Hujan,134
November,777,227,Mendung,172
Oktober,778,238,Hujan,149
April,779,263,Hujan,159
Januari,780,323,Hujan,142
September,781,247,Hujan,145
Mei,782,324,Mendung,180
Mei,783,175,Mendung,151
Oktober,784,178,Hujan,188
November,785,219,Hujan,76
April,786,187,Mendung,111
September,787,102,Cerah,198
Januari,788,242,Cerah,136
Juli,789,314,Hujan,171
Oktober,790,295,Cerah,106
Desember,791,249,Cerah,99
Desember,792,254,Cerah,94
Juli,793,331,Hujan,102
September,794,112,Mendung,218
September,795,289,Hujan,144
Mei,796,320,Mendung,178
Maret,797,178,Cerah,98
Juli,798,319,Mendung,131
September,799,247,Cerah,211
Mei,800,250,Cerah,193
Januari,801,118,Cerah,164
Desember,802,132,Cerah,207
September,803,317,Cerah,129
Oktober,804,253,Mendung,210
Juli,805,157,Mendung,101
Mei,806,299,Hujan,149
April,807,126,Cerah,94
Juni,808,163,Mendung,219
Januari,809,317,Mendung,181
Desember,810,222,Cerah,129
April,811,145,Mendung,131
Maret,812,108,Cerah,193
Mei,813,301,Mendung,162
April,814,158,Hujan,178
September,815,110,Hujan,89
Juni,816,302,Cerah,202
Mei,817,106,Mendung,75
Januari,818,290,Cerah,171
April,819,245,Cerah,96
Januari,820,326,Hujan,89
September,821,336,Cerah,183
Desember,822,238,Hujan,219
Januari,823,221,Cerah,135
Mei,824,261,Mendung,167
Februari,825,132,Mendung,117
Februari,826,170,Cerah,156
Desember,827,160,Mendung,110
Agustus,828,153,Hujan,207
November,829,205,Hujan,134
Oktober,830,101,Mendung,126
Agustus,831,309,Mendung,156
Februari,832,118,Hujan,121
Maret,833,253,Mendung,135
Juli,834,235,Cerah,204
Januari,835,124,Hujan,105
Oktober,836,154,Cerah,90
Oktober,837,136,Cerah,110
Desember,838,184,Cerah,174
Maret,839,213,Hujan,107
November,840,302,Mendung,143
Agustus,841,136,Cerah,204
Februari,842,310,Hujan,112
November,843,181,Cerah,201
Januari,844,347,Mendung,88
Desember,845,233,Cerah,187
Oktober,846,133,Hujan,214
September,847,168,Hujan,162
Februari,848,243,Mendung,71
Februari,849,270,Hujan,198
September,850,111,Mendung,151
Maret,851,145,Cerah,184
Maret,852,217,Cerah,168
Maret,853,211,Mendung,200
Maret,854,283,Mendung,183
April,855,259,Cerah,171
Agustus,856,334,Cerah,91
Oktober,857,222,Hujan,202
Juni,858,348,Cerah,142
Mei,859,221,Mendung,214
Juni,860,106,Hujan,159
September,861,286,Hujan,143
Desember,862,279,Mendung,136
Oktober,863,112,Cerah,96
Maret,864,189,Hujan,162
Juni,865,184,Hujan,219
November,866,318,Cerah,179
Agustus,867,127,Mendung,100
Oktober,868,188,Cerah,114
Oktober,869,148,Hujan,137
November,870,106,Cerah,82
September,871,123,Cerah,139
November,872,257,Cerah,176
Februari,873,335,Hujan,200
Maret,874,175,Mendung,129
September,875,113,Mendung,137
April,876,301,Cerah,180
Maret,877,265,Hujan,193
Mei,878,317,Mendung,70
Oktober,879,273,Hujan,218
Juli,880,159,Hujan,218
Maret,881,210,Hujan,169
November,882,278,Cerah,217
Februari,883,125,Cerah,94
Mei,884,112,Cerah,70
Agustus,885,259,Hujan,100
Oktober,886,187,Cerah,98
Februari,887,112,Cerah,175
Juli,888,121,Hujan,166
April,889,296,Cerah,196
Desember,890,306,Mendung,79
Februari,891,209,Cerah,185
Mei,892,232,Hujan,132
Desember,893,258,Cerah,125
April,894,235,Cerah,201
Maret,895,211,Cerah,73
November,896,265,Mendung,153
Desember,897,336,Hujan,91
Juni,898,278,Hujan,138
April,899,218,Mendung,164
Juni,900,207,Mendung,142
September,901,128,Cerah,116
Januari,902,300,Hujan,218
Januari,903,210,Mendung,125
November,904,178,Mendung,128
Februari,905,200,Mendung,188
Mei,906,112,Mendung,169
Juli,907,179,Cerah,93
Agustus,908,219,Hujan,85
Maret,909,140,Cerah,208
Oktober,910,235,Mendung,203
Mei,911,145,Mendung,93
Agustus,912,342,Hujan,201
Juni,913,322,Mendung,199
Maret,914,317,Cerah,200
Agustus,915,140,Mendung,130
Juli,916,131,Cerah,188
Oktober,917,315,Mendung,163
Juli,918,337,Mendung,79
April,919,166,Cerah,170
April,920,145,Hujan,98
Mei,921,335,Mendung,174
Maret,922,316,Mendung,100
Mei,923,191,Hujan,133
Maret,924,345,Hujan,168
Juni,925,303,Cerah,199
Januari,926,227,Mendung,104
Maret,927,214,Cerah,125
Desember,928,263,Mendung,141
Juni,929,190,Cerah,177
Oktober,930,228,Hujan,201
Maret,931,255,Hujan,114
Januari,932,144,Hujan,157
Oktober,933,148,Hujan,92
Juni,934,122,Cerah,186
November,935,182,Cerah,130
September,936,288,Cerah,72
Mei,937,256,Cerah,93
Mei,938,251,Mendung,93
Juli,939,336,Hujan,103
November,940,338,Cerah,98
Januari,941,310,Cerah,92
Oktober,942,193,Hujan,169
Desember,943,191,Mendung,184
Oktober,944,247,Cerah,78
September,945,269,Mendung,199
Januari,946,151,Mendung,217
Maret,947,186,Hujan,96
Februari,948,225,Mendung,80
